,R2,MAE,RMSE
Linear Regression,0.8850327510769644,50999266.433324784,95853893.63859369
Random Forest,0.9507111532258941,27056258.353835966,62762035.14780549
DNN,0.7667183923971846,85239882.56157643,136540955.922437
